"mileage","price","year","color","condition","state","soundSystem"
62495,26500,2008,"Black","Used","FL","Harman Kardon"
51792,41800,2009,"Silver","CPO","SC","Premium"
89511,18998,2007,"Silver","Used","FL","unsp"
102900,21885,2007,"Gray","Used","CA","unsp"
30351,52888,2011,"White","Used","CA","Harman Kardon"
20425,58995,2011,"Black","Used","NC","Harman Kardon"
37274,38000,2010,"Silver","Used","AL","Harman Kardon"
46307,49888,2010,"Black","CPO","CA","unsp"
32905,55999,2011,"Black","CPO","CA","Harman Kardon"
34842,46995,2012,"Black","Used","AL","unsp"
6084,106395,2013,"Silver","New","GA","unsp"
35939,52988,2012,"White","Used","NC","Harman Kardon"
39790,32900,2008,"Gray","Used","CA","Premium"
59042,34995,2008,"White","Used","NJ","Premium"
33893,54948,2011,"Silver","CPO","NJ","Harman Kardon"
27128,47900,2010,"Black","Used","AL","unsp"
38920,51995,2011,"Gray","Used","AL","Premium"
47413,35490,2010,"Silver","Used","CA","unsp"
14712,62714,2013,"Black","CPO","NY","Premium"
26137,48995,2012,"Silver","Used","NY","Premium"
20837,77985,2013,"Black","CPO","CA","unsp"
48460,49900,2012,"Black","Used","NC","Bang Olufsen"
27464,56900,2012,"Silver","Used","IL","Premium"
16734,65900,2012,"Silver","CPO","IL","Premium"
21790,52995,2013,"Gray","Used","TX","Harman Kardon"
17513,59980,2012,"White","CPO","TX","Harman Kardon"
12488,64800,2013,"White","Used","TN","Harman Kardon"
20,112050,2014,"Black","New","CA","unsp"
47719,37991,2007,"Red","Used","FL","unsp"
41880,29888,2008,"White","Used","FL","unsp"
48564,34000,2008,"Gray","Used","NC","unsp"
82294,26991,2007,"Black","Used","NV","Harman Kardon"
114912,19500,2007,"White","Used","FL","Harman Kardon"
91711,23072,2008,"Gray","Used","TN","Harman Kardon"
52543,29981,2008,"Silver","Used","NC","unsp"
25005,42700,2010,"Black","Used","TX","Harman Kardon"
30508,63991,2013,"Gray","Used","CA","unsp"
16729,68900,2013,"Gray","CPO","NC","Premium"
48500,42995,2011,"unsp","Used","TX","unsp"
21141,56900,2011,"Gray","CPO","NY","Bang Olufsen"
38274,43998,2011,"Black","Used","NY","Premium"
30078,47000,2010,"Black","Used","CO","unsp"
31179,59991,2012,"unsp","CPO","CO","Premium"
23088,64995,2012,"Silver","Used","NY","Premium"
42475,49498,2012,"Black","CPO","MA","unsp"
11,107775,2014,"Blue","New","NC","unsp"
10,119625,2014,"Black","New","CA","unsp"
25,123790,2014,"Black","New","DE","unsp"
38231,30991,2007,"Silver","Used","NC","Harman Kardon"
109229,31995,2007,"White","Used","KY","unsp"
38320,42999,2010,"Green","Used","GA","unsp"
29924,49970,2011,"unsp","CPO","CA","unsp"
64908,41989,2011,"Black","Used","FL","Premium"
55540,30900,2009,"Gray","Used","IL","Premium"
29041,49999,2013,"Silver","Used","FL","Premium"
20931,61981,2013,"Black","CPO","PA","Premium"
17519,53917,2012,"Black","Used","FL","Harman Kardon"
20295,69884,2013,"Gray","Used","VA","Premium"
28608,55998,2012,"Black","CPO","MA","unsp"
10888,91988,2014,"Silver","Used","CA","unsp"
17270,96888,2014,"Black","CPO","TX","unsp"
78197,28992,2007,"Black","Used","FL","Premium"
38593,29900,2007,"Silver","Used","HI","unsp"
46781,52991,2011,"Black","CPO","FL","Harman Kardon"
13854,53999,2012,"Blue","Used","FL","unsp"
33810,52994,2012,"Black","CPO","TX","Harman Kardon"
21858,64892,2012,"Silver","CPO","CA","Premium"
65715,32989,2008,"Black","Used","CO","unsp"
42204,31998,2007,"Black","Used","MA","unsp"
41807,38994,2009,"Blue","Used","NJ","Harman Kardon"
14210,126295,2013,"Black","Used","NJ","Premium"
